Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,148.25,-106.1,0.0,bottom
C2,0.1uF,C_0603_1608Metric,164.1,-94.9,0.0,top
C3,0.1uF,C_0201_0603Metric,149.2,-97.35,90.0,top
C4,0.1uF,C_0603_1608Metric,151.025,-107.925,0.0,top
C5,10uF,C_0603_1608Metric,165.535,-106.35,0.0,top
C6,1uF,C_0603_1608Metric,151.6,-94.25,0.0,top
C7,1uF,C_0603_1608Metric,164.8,-104.125,-90.0,top
C8,22pf,C_0402_1005Metric,162.895321,-104.094379,-45.0,top
C9,22pf,C_0402_1005Metric,162.895321,-105.994379,45.0,top
D1,SCHOTTKY,SOD-323F,166.35,-108.8,-90.0,top
D2,QBLP617-IW,LED_QBLP617,144.16,-102.47,90.0,top
J2,FH19C-9S-0.5SH_10_,FH19C9S05SH10,163.925,-99.25,-90.0,top
L1,10uH,L_0805_2012Metric,148.19,-109.8,270.0,bottom
L2,14 mH,ELT3KN,158.36,-113.74,180.0,bottom
Q1,Q_NMOS_GSD,SOT-523,153.6875,-108.05,180.0,top
R1,10K,R_0201_0603Metric,151.85,-109.65,180.0,top
R2,100,R_0805_2012Metric,147.78,-97.7,285.0,bottom
R3,10K,R_0201_0603Metric,160.75,-100.195,90.0,top
R4,10K,R_0201_0603Metric,160.75,-101.795,-90.0,top
R5,10K THERM,R_0603_1608Metric,161.225,-110.46,0.0,top
R6,10K 0.1%,R_0603_1608Metric,161.225,-109.01,180.0,top
RESET1,EVP-BB1AAB000,SW_EVP-BB1AAB000,145.55,-101.99,270.0,bottom
U1,ATSAML22J18A-MUT,QFN64_9X9MC_MCH,154.6558,-100.85,180.0,top
U4,MIC5365-3.3YC5-TR,SOT65P210X110-5N,163.97,-109.38,-90.0,top
X1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,160.895321,-105.2,90.0,top
